Zscore	area	pvalue1sides	pvalue2sides
3.116	0.999083389	0.000916611	0.001833223
3.117	0.999086492	0.000913508	0.001827016
3.118	0.999089586	0.000910414	0.001820828
3.119	0.99909267	0.00090733	0.00181466
3.120	0.999095745	0.000904255	0.00180851
3.121	0.99909881	0.00090119	0.00180238
3.122	0.999101865	0.000898135	0.001796269
3.123	0.999104911	0.000895089	0.001790177
3.124	0.999107948	0.000892052	0.001784105
3.125	0.999110975	0.000889025	0.001778051
3.126	0.999113992	0.000886008	0.001772016
3.127	0.999117	0.000883	0.001765999
3.128	0.999119999	0.000880001	0.001760002
3.129	0.999122988	0.000877012	0.001754023
3.130	0.999125968	0.000874032	0.001748063
3.131	0.999128939	0.000871061	0.001742122
3.132	0.999131901	0.000868099	0.001736199
3.133	0.999134853	0.000865147	0.001730294
3.134	0.999137796	0.000862204	0.001724409
3.135	0.999140729	0.000859271	0.001718541
3.136	0.999143654	0.000856346	0.001712692
3.137	0.999146569	0.000853431	0.001706861
3.138	0.999149476	0.000850524	0.001701049
3.139	0.999152373	0.000847627	0.001695254
3.140	0.999155261	0.000844739	0.001689478
3.141	0.99915814	0.00084186	0.00168372
3.142	0.99916101	0.00083899	0.00167798
3.143	0.999163871	0.000836129	0.001672258
3.144	0.999166723	0.000833277	0.001666554
3.145	0.999169566	0.000830434	0.001660868
3.146	0.9991724	0.0008276	0.0016552
3.147	0.999175225	0.000824775	0.00164955
3.148	0.999178042	0.000821958	0.001643917
3.149	0.999180849	0.000819151	0.001638302
3.150	0.999183648	0.000816352	0.001632705
3.151	0.999186438	0.000813562	0.001627125
3.152	0.999189219	0.000810781	0.001621563
3.153	0.999191991	0.000808009	0.001616018
3.154	0.999194755	0.000805245	0.001610491
3.155	0.999197509	0.000802491	0.001604981
3.156	0.999200256	0.000799744	0.001599489
3.157	0.999202993	0.000797007	0.001594013
3.158	0.999205722	0.000794278	0.001588556
3.159	0.999208443	0.000791557	0.001583115
3.160	0.999211154	0.000788846	0.001577691
3.161	0.999213858	0.000786142	0.001572285
3.162	0.999216552	0.000783448	0.001566896
3.163	0.999219238	0.000780762	0.001561523
3.164	0.999221916	0.000778084	0.001556168
3.165	0.999224585	0.000775415	0.00155083
3.166	0.999227246	0.000772754	0.001545508
3.167	0.999229898	0.000770102	0.001540203
3.168	0.999232542	0.000767458	0.001534915
3.169	0.999235178	0.000764822	0.001529644
3.170	0.999237805	0.000762195	0.001524389
3.171	0.999240424	0.000759576	0.001519151
3.172	0.999243035	0.000756965	0.00151393
3.173	0.999245637	0.000754363	0.001508725
3.174	0.999248232	0.000751768	0.001503537
3.175	0.999250817	0.000749183	0.001498365
3.176	0.999253395	0.000746605	0.00149321
3.177	0.999255965	0.000744035	0.00148807
3.178	0.999258526	0.000741474	0.001482948
3.179	0.99926108	0.00073892	0.001477841
3.180	0.999263625	0.000736375	0.001472751
3.181	0.999266162	0.000733838	0.001467676
3.182	0.999268691	0.000731309	0.001462618
3.183	0.999271212	0.000728788	0.001457576
3.184	0.999273725	0.000726275	0.00145255
3.185	0.99927623	0.00072377	0.00144754
3.186	0.999278727	0.000721273	0.001442546
3.187	0.999281216	0.000718784	0.001437568
3.188	0.999283697	0.000716303	0.001432605
3.189	0.999286171	0.000713829	0.001427659
3.190	0.999288636	0.000711364	0.001422728
3.191	0.999291094	0.000708906	0.001417813
3.192	0.999293543	0.000706457	0.001412913
3.193	0.999295985	0.000704015	0.001408029
3.194	0.999298419	0.000701581	0.001403161
3.195	0.999300846	0.000699154	0.001398308
3.196	0.999303264	0.000696736	0.001393471
3.197	0.999305675	0.000694325	0.001388649
3.198	0.999308079	0.000691921	0.001383843
3.199	0.999310474	0.000689526	0.001379052
3.200	0.999312862	0.000687138	0.001374276
3.201	0.999315242	0.000684758	0.001369515
3.202	0.999317615	0.000682385	0.00136477
3.203	0.99931998	0.00068002	0.00136004
3.204	0.999322338	0.000677662	0.001355325
3.205	0.999324688	0.000675312	0.001350625
3.206	0.99932703	0.00067297	0.00134594
3.207	0.999329365	0.000670635	0.00134127
3.208	0.999331693	0.000668307	0.001336615
3.209	0.999334013	0.000665987	0.001331975
3.210	0.999336325	0.000663675	0.00132735
3.211	0.99933863	0.00066137	0.001322739
3.212	0.999340928	0.000659072	0.001318144
3.213	0.999343219	0.000656781	0.001313563
3.214	0.999345502	0.000654498	0.001308997
3.215	0.999347777	0.000652223	0.001304445
3.216	0.999350046	0.000649954	0.001299908
3.217	0.999352307	0.000647693	0.001295386
3.218	0.999354561	0.000645439	0.001290878
3.219	0.999356808	0.000643192	0.001286385
3.220	0.999359047	0.000640953	0.001281906
3.221	0.999361279	0.000638721	0.001277441
3.222	0.999363504	0.000636496	0.001272991
3.223	0.999365722	0.000634278	0.001268556
3.224	0.999367933	0.000632067	0.001264134
3.225	0.999370137	0.000629863	0.001259727
3.226	0.999372333	0.000627667	0.001255334
3.227	0.999374523	0.000625477	0.001250955
3.228	0.999376705	0.000623295	0.00124659
3.229	0.999378881	0.000621119	0.001242239
3.230	0.999381049	0.000618951	0.001237902
3.231	0.99938321	0.00061679	0.001233579
3.232	0.999385365	0.000614635	0.001229271
3.233	0.999387512	0.000612488	0.001224976
3.234	0.999389653	0.000610347	0.001220695
3.235	0.999391786	0.000608214	0.001216427
3.236	0.999393913	0.000606087	0.001212174
3.237	0.999396033	0.000603967	0.001207934
3.238	0.999398146	0.000601854	0.001203708
3.239	0.999400252	0.000599748	0.001199496
3.240	0.999402352	0.000597648	0.001195297
3.241	0.999404444	0.000595556	0.001191112
3.242	0.99940653	0.00059347	0.00118694
3.243	0.999408609	0.000591391	0.001182782
3.244	0.999410681	0.000589319	0.001178637
3.245	0.999412747	0.000587253	0.001174506
3.246	0.999414806	0.000585194	0.001170388
3.247	0.999416858	0.000583142	0.001166284
3.248	0.999418904	0.000581096	0.001162193
3.249	0.999420943	0.000579057	0.001158115
3.250	0.999422975	0.000577025	0.00115405
3.251	0.999425001	0.000574999	0.001149999
3.252	0.99942702	0.00057298	0.00114596
3.253	0.999429033	0.000570967	0.001141935
3.254	0.999431039	0.000568961	0.001137923
3.255	0.999433038	0.000566962	0.001133924
3.256	0.999435031	0.000564969	0.001129938
3.257	0.999437018	0.000562982	0.001125964
3.258	0.999438998	0.000561002	0.001122004
3.259	0.999440972	0.000559028	0.001118057
3.260	0.999442939	0.000557061	0.001114122
3.261	0.9994449	0.0005551	0.0011102
3.262	0.999446854	0.000553146	0.001106291
3.263	0.999448802	0.000551198	0.001102395
3.264	0.999450744	0.000549256	0.001098512
3.265	0.99945268	0.00054732	0.001094641
3.266	0.999454609	0.000545391	0.001090782
3.267	0.999456532	0.000543468	0.001086937
3.268	0.999458448	0.000541552	0.001083104
3.269	0.999460358	0.000539642	0.001079283
3.270	0.999462263	0.000537737	0.001075475
3.271	0.99946416	0.00053584	0.001071679
3.272	0.999466052	0.000533948	0.001067896
3.273	0.999467938	0.000532062	0.001064125
3.274	0.999469817	0.000530183	0.001060366
3.275	0.99947169	0.00052831	0.00105662
3.276	0.999473557	0.000526443	0.001052886
3.277	0.999475418	0.000524582	0.001049164
3.278	0.999477273	0.000522727	0.001045454
3.279	0.999479122	0.000520878	0.001041756
3.280	0.999480965	0.000519035	0.001038071
3.281	0.999482801	0.000517199	0.001034397
3.282	0.999484632	0.000515368	0.001030736
3.283	0.999486457	0.000513543	0.001027087
3.284	0.999488275	0.000511725	0.001023449
3.285	0.999490088	0.000509912	0.001019824
3.286	0.999491895	0.000508105	0.00101621
3.287	0.999493696	0.000506304	0.001012608
3.288	0.999495491	0.000504509	0.001009018
3.289	0.99949728	0.00050272	0.00100544
3.290	0.999499063	0.000500937	0.001001874
3.291	0.99950084	0.00049916	0.000998319
3.292	0.999502612	0.000497388	0.000994776
3.293	0.999504378	0.000495622	0.000991245
3.294	0.999506138	0.000493862	0.000987725
